Date,channel_id,subscribers,total_views,video_count,Revenue
2025-12-06,UC_PRO_99,53,3669,0,24.981883524937736
2025-12-07,UC_PRO_99,46,4321,0,21.52098604227399
2025-12-08,UC_PRO_99,52,3236,0,19.671736160767033
2025-12-09,UC_PRO_99,0,5444,0,23.8005686993322
2025-12-10,UC_PRO_99,26,2882,0,5.666175393266519
2025-12-11,UC_PRO_99,1,1107,0,2.37136657588864
2025-12-12,UC_PRO_99,45,2687,0,13.105117144823605
2025-12-13,UC_PRO_99,35,20568,1,99.50547764806424
2025-12-14,UC_PRO_99,55,20745,1,99.90712475296692
2025-12-15,UC_PRO_99,43,21689,1,108.2127961629638
2025-12-16,UC_PRO_99,62,4563,1,21.206520271909355
2025-12-17,UC_PRO_99,71,2143,1,19.811660420403726
2025-12-18,UC_PRO_99,32,713,1,7.402796457741621
2025-12-19,UC_PRO_99,33,1641,1,11.017625615941714
2025-12-20,UC_PRO_99,30,3256,2,20.649231861638246
2025-12-21,UC_PRO_99,5,4235,2,27.791454889279947
2025-12-22,UC_PRO_99,35,4494,2,18.82709642322303
2025-12-23,UC_PRO_99,40,3377,2,19.333423014250805
2025-12-24,UC_PRO_99,29,1286,2,8.346272039697167
2025-12-25,UC_PRO_99,64,1244,2,19.04527023059342
2025-12-26,UC_PRO_99,338,2638,2,18.111673422559377
2025-12-27,UC_PRO_99,60,3719,3,15.480190751002208
2025-12-28,UC_PRO_99,39,3926,3,19.02433148607923
2025-12-29,UC_PRO_99,18,5314,3,28.439067405557626
2025-12-30,UC_PRO_99,20,4492,3,23.788035883752418
2025-12-31,UC_PRO_99,34,3609,3,17.34443084606589
2026-01-01,UC_PRO_99,16,1083,3,2.9796558735607386
2026-01-02,UC_PRO_99,31,1553,3,3.3344525781930345
2026-01-03,UC_PRO_99,53,2852,4,12.762455081210124
2026-01-04,UC_PRO_99,48,4310,4,22.079914920294478
2026-01-05,UC_PRO_99,72,4856,4,21.28402862895561
2026-01-06,UC_PRO_99,33,3508,4,23.728086366038998
2026-01-07,UC_PRO_99,33,1492,4,-4.39938527574403
2026-01-08,UC_PRO_99,19,1256,4,4.936586049453341
2026-01-09,UC_PRO_99,7,1643,4,4.003436301272385
2026-01-10,UC_PRO_99,0,2207,5,11.416656339157969
2026-01-11,UC_PRO_99,43,4222,5,20.511847767976132
2026-01-12,UC_PRO_99,38,4771,5,29.599575470607768
2026-01-13,UC_PRO_99,31,2853,5,18.863168045120656
2026-01-14,UC_PRO_99,61,3014,5,15.954750656875582
2026-01-15,UC_PRO_99,44,1143,5,14.565780338599003
2026-01-16,UC_PRO_99,58,2416,5,17.80420891780485
2026-01-17,UC_PRO_99,53,18785,6,94.8124820689405
2026-01-18,UC_PRO_99,48,21936,6,105.92000011685359
2026-01-19,UC_PRO_99,23,22684,6,120.34244236298812
2026-01-20,UC_PRO_99,24,4007,6,15.995470569461496
2026-01-21,UC_PRO_99,10,2772,6,7.433176554665463
2026-01-22,UC_PRO_99,32,456,6,2.8069920637774564
2026-01-23,UC_PRO_99,50,1786,6,10.494540911959675
2026-01-24,UC_PRO_99,61,3116,7,11.18188627957182
2026-01-25,UC_PRO_99,67,3782,7,12.753896126039088
2026-01-26,UC_PRO_99,35,3824,7,8.949252569679821
2026-01-27,UC_PRO_99,43,3483,7,22.36946933584445
2026-01-28,UC_PRO_99,26,2953,7,10.278056899572507
2026-01-29,UC_PRO_99,47,706,7,2.714447575675515
2026-01-30,UC_PRO_99,34,1506,7,12.556602629909602
2026-01-31,UC_PRO_99,46,2784,8,18.2360860979853
2026-02-01,UC_PRO_99,27,4015,8,22.63152719823054
2026-02-02,UC_PRO_99,40,3314,8,16.291086166192077
2026-02-03,UC_PRO_99,74,3538,8,14.04568772193565
2026-02-04,UC_PRO_99,67,4093,8,21.98609543825212
2026-02-05,UC_PRO_99,45,100,8,-0.5247368603062548
2026-02-06,UC_PRO_99,41,1553,8,4.465320908784532
2026-02-07,UC_PRO_99,24,2425,9,24.013851293956876
2026-02-08,UC_PRO_99,20,3464,9,23.386396631785896
2026-02-09,UC_PRO_99,19,4942,9,19.61142376960026
2026-02-10,UC_PRO_99,0,3313,9,15.453582108915917
2026-02-11,UC_PRO_99,15,1983,9,17.006734139611254
2026-02-12,UC_PRO_99,47,18509,9,85.5043962320661
2026-02-13,UC_PRO_99,68,19657,9,99.55523151110312
2026-02-14,UC_PRO_99,37,20109,10,101.42545239338402
2026-02-15,UC_PRO_99,44,4921,10,20.502044480894458
2026-02-16,UC_PRO_99,256,6024,10,31.34446623327606
2026-02-17,UC_PRO_99,43,3175,10,15.46433917144757
2026-02-18,UC_PRO_99,15,2560,10,18.86895557635682
2026-02-19,UC_PRO_99,35,1138,10,-1.8015851651702706
2026-02-20,UC_PRO_99,34,1986,10,9.518698773950094
2026-02-21,UC_PRO_99,248,4103,11,19.857606145157405
2026-02-22,UC_PRO_99,17,4261,11,21.39147975867624
2026-02-23,UC_PRO_99,70,4274,11,14.343351347143892
2026-02-24,UC_PRO_99,77,3940,11,18.57270912869487
2026-02-25,UC_PRO_99,51,2825,11,13.799446483190595
2026-02-26,UC_PRO_99,50,638,11,3.1353427250458132
2026-02-27,UC_PRO_99,24,2523,11,10.91349160849816
2026-02-28,UC_PRO_99,42,3297,12,16.977650199108297
2026-03-01,UC_PRO_99,0,4058,12,20.51836241582723
2026-03-02,UC_PRO_99,15,5005,12,21.993418204822206
2026-03-03,UC_PRO_99,50,13122,12,66.78788279962004
2026-03-04,UC_PRO_99,47,11980,12,71.54128142264169
2026-03-05,UC_PRO_99,68,10249,12,47.85509171386705
2026-03-06,UC_PRO_99,81,1701,12,8.353466222992614
2026-03-07,UC_PRO_99,49,3151,13,21.48525242323517
2026-03-08,UC_PRO_99,42,4048,13,14.265465038124201
2026-03-09,UC_PRO_99,15,5015,13,28.115112732116653
2026-03-10,UC_PRO_99,8,2598,13,10.617257264210489
2026-03-11,UC_PRO_99,6,1473,13,12.542719558158876
2026-03-12,UC_PRO_99,3,2974,13,23.296780282350007
2026-03-13,UC_PRO_99,45,1203,13,6.183368517419927
2026-03-14,UC_PRO_99,42,3486,14,20.24313970187079
2026-03-15,UC_PRO_99,62,4646,14,20.137545331805313
2026-03-16,UC_PRO_99,65,4748,14,23.1579177131586
2026-03-17,UC_PRO_99,39,3087,14,13.647586418929912
2026-03-18,UC_PRO_99,53,3241,14,17.76553827767714
2026-03-19,UC_PRO_99,35,3149,14,8.053918151326707
2026-03-20,UC_PRO_99,157,3592,14,15.7413376792028
2026-03-21,UC_PRO_99,10,2627,15,14.141821612042566
2026-03-22,UC_PRO_99,27,4757,15,30.167255746686926
2026-03-23,UC_PRO_99,44,5995,15,30.559333435312098
2026-03-24,UC_PRO_99,48,3700,15,27.014354431206076
2026-03-25,UC_PRO_99,70,2723,15,13.994583833803386
2026-03-26,UC_PRO_99,82,2500,15,5.040734668684003
2026-03-27,UC_PRO_99,63,1594,15,8.999130640147037
2026-03-28,UC_PRO_99,44,1898,16,10.971462485298854
2026-03-29,UC_PRO_99,39,4359,16,22.709039006006833
2026-03-30,UC_PRO_99,25,20927,16,108.16404416902043
2026-03-31,UC_PRO_99,20,19365,16,90.5805175835746
2026-04-01,UC_PRO_99,45,17542,16,83.99054438003976
2026-04-02,UC_PRO_99,54,21344,16,103.86701005827682
2026-04-03,UC_PRO_99,54,19059,16,96.69358538471782
2026-04-04,UC_PRO_99,62,22245,17,117.98026093032205
2026-04-05,UC_PRO_99,58,4735,17,15.737005080136889
2026-04-06,UC_PRO_99,49,4753,17,17.91166347954364
2026-04-07,UC_PRO_99,62,3753,17,17.468735591748533
2026-04-08,UC_PRO_99,14,2704,17,20.354366278692037
2026-04-09,UC_PRO_99,16,839,17,4.9840788767305
2026-04-10,UC_PRO_99,29,1718,17,7.873746759938584
2026-04-11,UC_PRO_99,0,2786,18,18.521485409849866
2026-04-12,UC_PRO_99,43,3537,18,8.874209929108655
2026-04-13,UC_PRO_99,10,4104,18,19.31479205913519
2026-04-14,UC_PRO_99,77,3480,18,14.343080579354707
2026-04-15,UC_PRO_99,93,1990,18,17.1247090761428
2026-04-16,UC_PRO_99,58,1664,18,9.40991046158138
2026-04-17,UC_PRO_99,51,2477,18,6.863877884267815
2026-04-18,UC_PRO_99,31,2576,19,17.037488768385764
2026-04-19,UC_PRO_99,14,3167,19,4.806842954108351
2026-04-20,UC_PRO_99,25,4061,19,19.33583590703228
2026-04-21,UC_PRO_99,10,3143,19,14.494444731106414
2026-04-22,UC_PRO_99,45,2220,19,12.44967058255412
2026-04-23,UC_PRO_99,39,1263,19,6.531245728309178
2026-04-24,UC_PRO_99,55,1855,19,6.467295667503362
2026-04-25,UC_PRO_99,47,2368,20,15.614254815972803
2026-04-26,UC_PRO_99,60,4131,20,17.509083484610912
2026-04-27,UC_PRO_99,50,5046,20,29.570897294598197
2026-04-28,UC_PRO_99,39,4466,20,20.740799376545517
2026-04-29,UC_PRO_99,14,3101,20,10.853222504683433
2026-04-30,UC_PRO_99,8,1029,20,13.608273649265293
2026-05-01,UC_PRO_99,30,1908,20,2.606379081471953
2026-05-02,UC_PRO_99,23,3953,21,20.760328490157196
2026-05-03,UC_PRO_99,27,3001,21,20.686592683142074
2026-05-04,UC_PRO_99,63,3549,21,13.072403045891608
