Date,subscribers,total_views,video_count,revenue
2026-01-05,57,3452,1,18.69790079257874
2026-01-06,73,4919,0,26.643966975288187
2026-01-07,69,4706,0,25.490243664506245
2026-01-08,66,4001,0,21.671582002058965
2026-01-09,37,2602,0,14.09384063218131
2026-01-10,136,9259,0,50.151756500140955
2026-01-11,36,2535,0,13.730932360714691
2026-01-12,50,3388,1,18.35124214520764
2026-01-13,73,4563,0,24.71567824928644
2026-01-14,63,4814,0,26.075230131944977
2026-01-15,51,3774,0,20.442027112164592
2026-01-16,47,2850,0,15.437142890744326
2026-01-17,172,11419,0,61.8514858489156
2026-01-18,43,2392,0,12.956366945494885
2026-01-19,59,3693,1,20.00328726158554
2026-01-20,63,4521,0,24.488183511949156
2026-01-21,75,4741,0,25.679822612287314
2026-01-22,60,4082,0,22.110321852638013
2026-01-23,46,3082,0,16.693780487464565
2026-01-24,27,2006,0,10.865581978537934
2026-01-25,36,2329,0,12.61512483948896
2026-01-26,67,3883,1,21.032430120968495
2026-01-27,73,5308,0,28.75100156634066
2026-01-28,70,5023,0,27.207287277266225
2026-01-29,74,4579,0,24.802342911129216
2026-01-30,42,2976,0,16.11962710275618
2026-01-31,39,2188,0,11.851392506999504
2026-02-01,173,11585,0,62.7506317155344
2026-02-02,61,3671,1,19.884123351551725
2026-02-03,76,4439,0,24.044027120004934
2026-02-04,58,4662,0,25.251915844438614
2026-02-05,67,4305,0,23.31821057707169
2026-02-06,50,3046,0,16.49878499831832
2026-02-07,29,2005,0,10.860165437172762
2026-02-08,40,2680,0,14.51633085866484
2026-02-09,45,3506,1,18.990394026298105
2026-02-10,63,4292,0,23.247795539324436
2026-02-11,69,4702,0,25.46857749904555
2026-02-12,56,3868,0,20.951182000490896
2026-02-13,44,2782,0,15.068818077912532
2026-02-14,26,1946,0,10.540589496627529
2026-02-15,36,2539,0,13.752598526175385
2026-02-16,47,3394,1,18.383741393398683
2026-02-17,73,5325,0,28.84308276954861
2026-02-18,77,5045,0,27.32645118730004
2026-02-19,56,4107,0,22.24573538676735
2026-02-20,48,3400,0,18.41624064158972
2026-02-21,36,1882,0,10.193930849256427
2026-02-22,49,2782,0,15.068818077912532
2026-02-23,58,3554,1,19.25038801182643
2026-02-24,62,4222,0,22.8686376437623
2026-02-25,72,4634,0,25.100252686213757
2026-02-26,70,4246,0,22.99863463652646
2026-02-27,38,2562,0,13.877178977574372
2026-02-28,39,2154,0,11.667230100583605
2026-03-01,34,2378,0,12.880535366382459
2026-03-02,58,3423,1,18.54082109298871
2026-03-03,70,4598,0,24.90525719706751
2026-03-04,71,4723,0,25.582324867714192
2026-03-05,75,5147,0,27.878938406547736
2026-03-06,45,2695,0,14.59757897914244
2026-03-07,37,2097,0,11.35848724276872
2026-03-08,30,2252,0,12.198051154370603
2026-03-09,46,3438,1,18.622069213466315
2026-03-10,64,4093,0,22.169903807654922
2026-03-11,70,4883,0,26.448971486141943
2026-03-12,54,4028,0,21.817828618918643
2026-03-13,39,2821,0,15.280063191154296
2026-03-14,30,2034,0,11.01724513676279
2026-03-15,38,2561,0,13.871762436209199
2026-03-16,41,3324,1,18.00458349783654
2026-03-17,66,4431,0,24.000694789083546
2026-03-18,67,4592,0,24.87275794887647
2026-03-19,60,4216,0,22.836138395571258
2026-03-20,39,2960,0,16.032962440913405
2026-03-21,40,1924,0,10.421425586593713
2026-03-22,41,2376,0,12.86970228365211
2026-03-23,56,4021,1,21.77991282936243
2026-03-24,68,4378,0,23.713618096729355
2026-03-25,64,4741,0,25.679822612287314
2026-03-26,65,4524,0,24.50443313604468
2026-03-27,39,2190,0,11.86222558972985
2026-03-28,31,2182,0,11.818893258808462
2026-03-29,33,2003,0,10.849332354442415
2026-03-30,44,3268,1,17.701257181386826
2026-03-31,69,4292,0,23.247795539324436
2026-04-01,75,4917,0,26.63313389255784
2026-04-02,63,4342,0,23.518622607583108
2026-04-03,43,2901,0,15.71338650036817
2026-04-04,37,2621,0,14.196754918119606
2026-04-05,31,2572,0,13.931344391226107
2026-04-06,51,3456,1,18.719566958039433
2026-04-07,70,4516,0,24.46110080512329
2026-04-08,68,4699,0,25.45232787495003
2026-04-09,70,4507,0,24.412351932836728
2026-04-10,49,3014,0,16.32545567463277
2026-04-11,23,1637,0,8.866878214788933
2026-04-12,32,2533,0,13.720099277984342
2026-04-13,46,3180,1,17.224601541251563
2026-04-14,56,4278,0,23.171963960212008
2026-04-15,72,4644,0,25.15441809986549
2026-04-16,57,4239,0,22.960718846970245
2026-04-17,166,10365,0,56.14245125002279
2026-04-18,30,2333,0,12.636791004949654
2026-04-19,33,2223,0,12.040971454780573
2026-04-20,64,3766,1,20.398694781243204
2026-04-21,63,4446,0,24.081942909561146
2026-04-22,72,4997,0,27.066457201771716
2026-04-23,65,4382,0,23.735284262190046
2026-04-24,35,2367,0,12.82095341136555
2026-04-25,34,2459,0,13.319275216961508
2026-04-26,42,2199,0,11.91097446201641
2026-04-27,61,3997,1,21.649915836598268
2026-04-28,74,4834,0,26.183560959248442
2026-04-29,187,12471,0,67.54968736507807
2026-04-30,58,4317,0,23.383209073453774
2026-05-01,37,2480,0,13.43302258563015
2026-05-02,44,2416,0,13.08636393825905
2026-05-03,31,2057,0,11.141825588161781
2026-05-04,66,3889,1,21.064929369159536
